url,name,ein,score,star_rating,keywords,website,address,phone,organization_mission,IRS_ruling_year,contain_keywords
https://www.charitynavigator.org/ein/931467856,KNIGHTS OF COLUMBUS,931467856,,,"Not rated, This organization is not rated, Not currently rated",,"PO BOX 1071, NEW HARTFORD, CT, 06057-1071",,Mission not available,1940,Yes
https://www.charitynavigator.org/ein/931475600,Kanchan Moni Foundation Inc.,931475600,,,"Not rated, This organization is not rated, Not currently rated",,"210 ARLINGTON ST, ACTON, MA, 01720-2439",,Mission not available,2023,Yes
https://www.charitynavigator.org/ein/931472113,CONG TIFERES YEHOSHUA VIEN,931472113,,,"Not rated, This organization is not rated, Not currently rated",,"76 FRANCIS PL, SPRING VALLEY, NY, 10977-3316",,Mission not available,2024,Yes
https://www.charitynavigator.org/ein/931469096,Firm Foundation Housing,931469096,,,"Not rated, This organization is not rated, Not currently rated",,"203 LAKE WINNEPESAUKEE DR, LTL EGG HBR, NJ, 08087-1232",,Mission not available,2023,Yes
https://www.charitynavigator.org/ein/931472770,Grateful to Giveback Foundation Inc.,931472770,,,"Not rated, This organization is not rated, Not currently rated",,"43 HAWTHORNE AVE, PARK RIDGE, NJ, 07656-1249",,Mission not available,2023,Yes
https://www.charitynavigator.org/ein/931469243,Loom Ensemble,931469243,,,"Not rated, This organization is not rated, Not currently rated",,"2315 CONNECTICUT RIVER RD, SPRINGFIELD, VT, 05156-9100",,Mission not available,2023,Yes
https://www.charitynavigator.org/ein/931474117,Friends of Ferrisburgh,931474117,,,"Not rated, This organization is not rated, Not currently rated",,"1172 PEA RIDGE RD, VERGENNES, VT, 05491-9652",,Mission not available,2023,Yes
https://www.charitynavigator.org/ein/931472110,American Muslim Union,931472110,,,"Not rated, This organization is not rated, Not currently rated",,"152 HAASE AVE, PARAMUS, NJ, 07652-4506",,Mission not available,2023,Yes
https://www.charitynavigator.org/ein/931476857,SAVING HARBIN DOGS INC,931476857,,,"Not rated, This organization is not rated, Not currently rated",,"24 RUST RD, BARKHAMSTED, CT, 06063-3314",,Mission not available,2024,Yes
https://www.charitynavigator.org/ein/931477659,Laboratory Robotics Interest Group of Nyc,931477659,,,"Not rated, This organization is not rated, Not currently rated",,"4 WASHINGTON SQUARE VLG APT 5H, NEW YORK, NY, 10012-1903",,Mission not available,2023,Yes
https://www.charitynavigator.org/ein/931477860,2tunics Inc.,931477860,,,"Not rated, This organization is not rated, Not currently rated",,"83 CANFIELD DR, BRIDGEWATER, CT, 06752-1330",,Mission not available,2023,Yes
https://www.charitynavigator.org/ein/931478183,Jeffrey L Nissen Arts Education and Development Fund Inc.,931478183,,,"Not rated, This organization is not rated, Not currently rated",,"217 HUDSON VIEW TER, HYDE PARK, NY, 12538-3545",,Mission not available,2023,Yes
