url,name,ein,score,star_rating,keywords,website,address,phone,organization_mission,IRS_ruling_year,contain_keywords
https://www.charitynavigator.org/ein/221713051,Justice Foundation Inc.,221713051,,,"Not rated, Not currently rated, This organization is not rated",,"CO SCIARABBA WALKER 410 E UPLAND RD, ITHACA, NY, 14850-0000",,Mission not available,1951,Yes
https://www.charitynavigator.org/ein/221713690,NESHANIC REFORMED CHURCH,221713690,,,"Not rated, Not currently rated, This organization is not rated",,"715 AMWELL RD, HILLSBOROUGH, NJ, 08844-3317",,Mission not available,1968,Yes
https://www.charitynavigator.org/ein/221713053,Kramer Foundation,221713053,,,"Not rated, Not currently rated, This organization is not rated",,"100 CROSSWAYS PARK DR W STE 403, WOODBURY, NY, 11797-2012",,Mission not available,1952,Yes
https://www.charitynavigator.org/ein/221713828,NOMAHEGAN SWIM CLUB,221713828,,,"Not rated, Not currently rated, This organization is not rated",http://WWW.NOMAHEGAN.NET,"PO BOX 71, WESTFIELD, NJ, 07091-0071",908-232-6313,"TO PROVIDE AND PROMOTE THE SOCIAL, ATHLETIC AND RECREATIONAL INTERESTS OF SWIM CLUB MEMBERS.",1963,Yes
https://www.charitynavigator.org/ein/221713685,Montclair Ambulance Unit,221713685,96%,4,,http://WWW.MONTCLAIREMS.ORG,"95 WALNUT ST, MONTCLAIR, NJ, 07042-4038",973-783-7624,9-1-1 EMERGENCY MEDICAL RESPONSE AND AMBULANCE TRANSPORT SERVICE.,1953,No
https://www.charitynavigator.org/ein/221714007,ALPHA XI ALUMNI ASSOCIATION,221714007,,,"Not rated, Not currently rated, This organization is not rated",,"PO BOX 1792, HOBOKEN, NJ, 07030-1306",201-500-7202,Maintain property used as a dormitory facility to students.,2023,Yes
https://www.charitynavigator.org/ein/221714037,New Jersey Institute of Technology Foundation,221714037,97%,4,,http://WWW.NJIT.EDU/DEVELOPMENT/FOUNDATION-NJIT,"UNIVERSITY HEIGHTS, NEWARK, NJ, 07102-0000",973-596-3427,RESOURCE DEVELOPMENT ORGANIZATION THAT RAISES AND MANAGES FUNDS FOR NJIT.,1961,No
https://www.charitynavigator.org/ein/221714106,HACKENSACK MERIDIAN HEALTH INC,221714106,,,"Not rated, Not currently rated, This organization is not rated",http://WWW.CARRIERCLINIC.ORG,"399 THORNALL ST STE 2, EDISON, NJ, 08837-2238",732-751-3361,"HMH CARRIER CLINIC'S PRIMARY ACTIVITIES ARE INPATIENT AND ADOLESCENT RESIDENTIAL PSYCHIATRIC TREATMENT, SUBSTANCE ABUSE TREATMENT AND REHABILITATION, AND SPECIAL EDU ... (More)",1996,Yes
https://www.charitynavigator.org/ein/221714042,Ralph and Clara Shuster Foundation Inc.,221714042,,,"Not rated, Not currently rated, This organization is not rated",,"909 NORTH MAIN STREET, PROVIDENCE, RI, 02904-5752",,Mission not available,1961,Yes
https://www.charitynavigator.org/ein/221714121,Cranbury First Aid Squad Inc.,221714121,69%,2,,http://CranburyFirstAid.org,"68 MAPLEWOOD AVE, CRANBURY, NJ, 08512-3235",609-395-1707,To provide emergency medical services and transportation to the community.,1958,No
https://www.charitynavigator.org/ein/221714130,Jewish Community Foundation of MetroWest New Jersey,221714130,,,"Not rated, This organization is not rated",http://www.jcfgmw.org,"901 ROUTE 10, WHIPPANY, NJ, 07981-1156",973-929-3000,"JEWISH COMMUNITY FOUNDATION (JCF) ENSURES THE FUTURE OF THE JEWISH FEDERATION OF GREATER METROWEST NJ THROUGH EFFECTIVE ENDOWMENT MANAGEMENT, PERSONALIZED PLANNED GI ... (More)",1955,Yes
https://www.charitynavigator.org/ein/221714078,Washington Nursery School,221714078,,,"Not rated, Not currently rated, This organization is not rated",,"40 E CHURCH ST, WASHINGTON, NJ, 07882-1478",,Mission not available,1965,Yes
https://www.charitynavigator.org/ein/221714137,NEW JERSEY FEDERATION OF CAMERA CLUBS,221714137,,,"Not rated, Not currently rated, This organization is not rated",,"233 CHEROKEE RD, LAFAYETTE, NJ, 07848-4028",,Mission not available,2011,Yes
https://www.charitynavigator.org/ein/221714827,NEW JERSEY ELECTRICAL WORKERS TEMPORARY DISABILITY TRUST FUND,221714827,,,"Not rated, Not currently rated, This organization is not rated",,"830 BEAR TAVERN RD, TRENTON, NJ, 08628-1020",800-792-3666,THE PAYMENT OF TEMPORARY DISABILITY BENEFITS TO COVERED EMPLOYEES OF PARTICIPATING ELECTRICAL CONTRACTORS AND THE PAYMENT OF THE RELATED FICA TAX TO IRS,1958,Yes
https://www.charitynavigator.org/ein/221715220,NEW JERSEY STATE FIREMENS ASSOCIATION,221715220,,,"Not rated, Not currently rated, This organization is not rated",,"36 ROGERS PL, BERKELEY HTS, NJ, 07922-1911",,Mission not available,1980,Yes
https://www.charitynavigator.org/ein/221715326,MAPLEWOOD COMMITTEE FOR SERVICEMEN AND SERVICEWOMEN A NJ NON PROFIT,221715326,,,"Not rated, Not currently rated, This organization is not rated",,"MUNICIPAL BUILDING, MAPLEWOOD, NJ, 07040-0000",,Mission not available,1969,Yes
https://www.charitynavigator.org/ein/221715367,NEW JERSEY STATE FIREMENS ASSOCIATION,221715367,,,"Not rated, Not currently rated, This organization is not rated",,"100 MILLER LN, BEDMINSTER, NJ, 07921-1639",,Mission not available,1979,Yes
https://www.charitynavigator.org/ein/221715338,Orange Free Library,221715338,51%,1,,,"29 N DAY ST, ORANGE, NJ, 07050-3608",908-561-1901,"TO PROVIDE BENEFITS FOR THE CITIZENS OF ORANGE, NJ",1942,No
https://www.charitynavigator.org/ein/221715361,Suburban Womans Club of Pompton Plains Nj,221715361,,,"Not rated, Not currently rated, This organization is not rated",,"PO BOX 92, POMPTON PLNS, NJ, 07444-0092",,Mission not available,1990,Yes
https://www.charitynavigator.org/ein/221715379,NEW PROVIDENCE FIREMENS RELIEF,221715379,,,"Not rated, Not currently rated, This organization is not rated",,"175 FLORAL AVE, NEW PROVIDNCE, NJ, 07974-1567",908-872-4934,To provide relief for members of the fire department and their families,1980,Yes
https://www.charitynavigator.org/ein/221715380,David & Eleanore Rukin Philanthropic Foundation,221715380,,,"Not rated, Not currently rated, This organization is not rated",,"182 W ALLENDALE AVE, ALLENDALE, NJ, 07401-1723",,Mission not available,1953,Yes
https://www.charitynavigator.org/ein/221715381,AMERICAN LEGION,221715381,,,"Not rated, Not currently rated, This organization is not rated",,"PO BOX 111, HASBROUCK HTS, NJ, 07604-0111",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/221715388,Hose Company No 1 of the Borough of New Providence,221715388,,,"Not rated, Not currently rated, This organization is not rated",,"PO BOX 671, NEW PROVIDNCE, NJ, 07974-0671",,Mission not available,2008,Yes
https://www.charitynavigator.org/ein/221716346,COLUMBIAN CLUB OF NORTH ARLINGTON,221716346,,,"Not rated, Not currently rated, This organization is not rated",,"194 RIVER RD, N ARLINGTON, NJ, 07031-5704",,Mission not available,2016,Yes
https://www.charitynavigator.org/ein/221717253,Masterwork Music & Art Foundation,221717253,73%,2,,,"PO Box 1116, Madison, NJ, 07904",973-222-6752,To promote and support the arts,1978,No
https://www.charitynavigator.org/ein/221715574,NORTH JERSEY MINERALOGICAL SOCIETY INC,221715574,,,"Not rated, Not currently rated, This organization is not rated",,"126 SOUTH ROUTE 46 - APT 40A, LODI, NJ, 07644-0000",,Mission not available,1964,Yes
https://www.charitynavigator.org/ein/221715830,ST MATTHEWS TRINITY LUTHERAN PARISH,221715830,,,"Not rated, Not currently rated, This organization is not rated",,"57 8TH ST, HOBOKEN, NJ, 07030-5056",,Mission not available,1988,Yes
https://www.charitynavigator.org/ein/221715974,SAINT JOHN LUTHERAN CHURCH,221715974,,,"Not rated, Not currently rated, This organization is not rated",,"PO BOX 949, BOUND BROOK, NJ, 08805-0949",,Mission not available,1941,Yes
https://www.charitynavigator.org/ein/221717280,Unitarian Society of Ridgewood,221717280,,,"Not rated, Not currently rated, This organization is not rated",,"113 COTTAGE PL, RIDGEWOOD, NJ, 07450-3213",,Mission not available,1942,Yes
https://www.charitynavigator.org/ein/221717575,Heath Village Inc.,221717575,92%,4,,http://WWW.HEATHVILLAGE.COM,"430 SCHOOLEYS MOUNTAIN R, HACKETTSTOWN, NJ, 07840-4039",908-852-4801,"RETIREMENT COMMUNITY OFFERING INDEPENDENT LIVING, RESIDENTIAL HEALTHCARE, & SKILLED NURSING CARE.",1966,No
https://www.charitynavigator.org/ein/221717636,NEW JERSEY STATE FIREMENS ASSOCIATION,221717636,,,"Not rated, Not currently rated, This organization is not rated",,"PO BOX 1376, BAYONNE, NJ, 07002-6376",201-310-3480,Provide financial assistance to members and their families.,1979,Yes
https://www.charitynavigator.org/ein/221717784,Congregation Etz Ahaim,221717784,,,"Not rated, Not currently rated, This organization is not rated",,"230 DENISON ST, HIGHLAND PARK, NJ, 08904-2417",,Mission not available,1991,Yes
https://www.charitynavigator.org/ein/221717788,GLACIER HILLS ASSOCIATION INC,221717788,,,"Not rated, Not currently rated, This organization is not rated",http://GLACIERHILLSASSOCIATION.COM,"7 FORUM CT, MORRIS PLAINS, NJ, 07950-0000",973-455-9835,GENERAL PROMOTION OF CIVIC AND SOCIAL ACTIVITIES ON OR NEAR THE PROPERTY THAT INCLUDES A SWIMMING POOL AND PARK LAND FOR THE MUTUAL BENEFIT OF THE HOMEOWNERS OF GLAC ... (More),1957,Yes
